ID,Sample,mStart,mEnd,mCheck,foldOp,finalOp,magic,Width,Checksum Algorithm,# Samples,# Results,Time
1 (11047),"FC41013010012100010000000000000000000000005B
FC41013010012100000000000000000000000000005C
FC4101301001240000000F000000000000000000004A
FC4101301001240000000E000000000000000000004B
FC4101301001240000000B000000000000000000004E
FC410130100124000000070000000000000000000052
FC410130100124000000060000000000000000000053
FC410130100124000000010000000000000000000058
FC410130100124000000000000000000000000000059
FC41013010012200000100000000000000000000005A
FC410130100122000003000000000000000000000058
FC410130100122000007000000000000000000000054
FC410130100122000002000000000000000000000059
FC620130100300000D0000AF0000000000000000009E
FC620130100300000F0000B200000000000000000099
FC62013010030000100000B400000000000000000096
FC62013010030000110000B600000000000000000093
FC62013010030000110000B700000000000000000092
FC62013010030000120000B90000000000000000008F
FC62013010030000120000B800000000000000000090
FC62013010030000130000BA0000000000000000008D
FC62013010030000140000BD00000000000000000089
FC62013010030000150000BE00000000000000000087
FC62013010030000160000C000000000000000000084
FC620130100300001C0000D00000000000000000006E
FC62013010030000150000BE00000000000000000087
FC62013010030000160000C000000000000000000084
FC620130100300001C0000D00000000000000000006E",1,-1,21,sub,None,None,8,(lambda (xs) (fold subtraction xs 0)),25,104,0.303u 0.010s 0:00.40 77.5%
2 (15484),"AA1C010101E1000000000000000002A600001429000025CAFF0000007D000000
AA1C010101C3000000000000000002A600001429000025CAFF0000005F000000
AA1C010101AB000000000000000002A600001429000025CAFF00000047000000
AA1C01010194000000000000000002A600001429000025CAFF00000030000000
AA1C0101017E000000000000000002A600001429000025CAFF0000001A000000
AA1C01010178000000000000000002A600001429000025CAFF00000014000000
AA1C0101016E000000000000000002A600001429000025CAFF0000000A000000
AA1C0101015D000000000000000002A600001429000025CAFF000000F9000000
AA1C01010149000000000000000002A600001429000025CAFF000000E5000000
AA1C01010137000000000000000002A600001429000025CAFF000000D3000000
AA1C01010127000000000000000002A600001429000025CAFF000000C3000000
AA1C01010119000000000000000002A600001429000025CAFF000000B5000000
AA1C0101011A000000000000000002A600001429000025CAFF000000B6000000
AA1C01010114000000000000000002A600001429000025CAFF000000B0000000
AA1C0101010F000000000000000002A600001429000025CAFF000000AB000000
AA1C01010110000000000000000002A600001429000025CAFF000000AC000000
AA1C0101010B000000000000000002A600001429000025CAFF000000A7000000
AA1C010100FD000000000000000002A600001429000025CAFF00000098000000
AA1C010100F0000000000000000002A600001429000025CAFF0000008B000000
AA1C0101010C000000000000000002A600001429000025CAFF000000A8000000
AA1C010100EC000000000000000002A600001429000025CAFF00000087000000
AA1C010100E7000000000000000002A600001429000025CAFF00000082000000
AA1C010100D9000000000000000002A600001429000025CAFF00000074000000
AA1C010100D1000000000000000002A600001429000025CAFF0000006C000000
AA1C010100DB000000000000000002A600001429000025CAFF00000076000000
AA1C010100E4000000000000000002A600001429000025CAFF0000007F000000
AA1C01010109000000000000000002A600001429000025CAFF000000A5000000
AA1C010100FF000000000000000002A600001429000025CAFF0000009A000000
AA1C0101011A000000000000000002A600001429000025CAFF000000B6000000
AA1C01010126000000000000000002A600001429000025CAFF000000C2000000
AA1C01010127000000000000000002A600001429000025CAFF000000C3000000
AA1C01010119000000000000000002A600001429000025CAFF000000B5000000
AA1C01010134000000000000000002A600001429000025CAFF000000D0000000
AA1C01010138000000000000000002A600001429000025CAFF000000D4000000
AA1C01010147000000000000000002A600001429000025CAFF000000E3000000
AA1C0101014D000000000000000002A600001429000025CAFF000000E9000000
AA1C01010157000000000000000002A600001429000025CAFF000000F3000000
AA1C01010163000000000000000002A600001429000025CAFF000000FF000000
AA1C01010165000000000000000002A600001429000025CAFF00000001000000
AA1C01010166000000000000000002A600001429000025CAFF00000002000000
AA1C01010172000000000000000002A600001429000025CAFF0000000E000000
AA1C01010175000000000000000002A600001429000025CAFF00000011000000
AA1C0101016C000000000000000002A600001429000025CAFF00000008000000
AA1C01010185000000000000000002A600001429000025CAFF00000021000000
AA1C0101017F000000000000000002A600001429000025CAFF0000001B000000
AA1C0101019A000000000000000002A600001429000025CAFF00000036000000
AA1C0101019D000000000000000002A600001429000025CAFF00000039000000
AA1C0101019E000000000000000002A600001429000025CAFF0000003A000000
AA1C01010198000000000000000002A600001429000025CAFF00000034000000
AA1C010101B2000000000000000002A600001429000025CAFF0000004E000000
AA1C010101B4000000000000000002A600001429000025CAFF00000050000000
AA1C010101B6000000000000000002A600001429000025CAFF00000052000000
AA1C010101B2000000000000000002A600001429000025CAFF0000004E000000
AA1C010101CE000000000000000002A600001429000025CAFF0000006A000000
AA1C010101D1000000000000000002A600001429000025CAFF0000006D000000
AA1C010101C7000000000000000002A600001429000025CAFF00000063000000
AA1C010101E0000000000000000002A600001429000025CAFF0000007C000000
AA1C010101E2000000000000000002A600001429000025CAFF0000007E000000
AA1C010101ED000000000000000002A600001429000025CAFF00000089000000
AA1C010101EE000000000000000002A600001429000025CAFF0000008A000000
AA1C010101EF000000000000000002A600001429000025CAFF0000008B000000
AA1C010101F1000000000000000002A600001429000025CAFF0000008D000000
AA1C010101E8000000000000000002A600001429000025CAFF00000084000000
AA1C01010208000000000000000002A600001429000025CAFF000000A5000000
AA1C0101020A000000000000000002A600001429000025CAFF000000A7000000
AA1C0101020F000000000000000002A600001429000025CAFF000000AC000000
AA1C01010201000000000000000002A600001429000025CAFF0000009E000000
AA1C0101021D000000000000000002A600001429000025CAFF000000BA000000
AA1C01010220000000000000000002A600001429000025CAFF000000BD000000
AA1C0101022E000000000000000002A600001429000025CAFF000000CB000000
AA1C0101023B000000000000000002A600001429000025CAFF000000D8000000
AA1C0101023C000000000000000002A600001429000025CAFF000000D9000000
AA1C01010242000000000000000002A600001429000025CAFF000000DF000000
AA1C01010238000000000000000002A600001429000025CAFF000000D5000000
AA1C01010259000000000000000002A600001429000025CAFF000000F6000000
AA1C0101025D000000000000000002A600001429000025CAFF000000FA000000
AA1C0101025E000000000000000002A600001429000025CAFF000000FB000000
AA1C0101026B000000000000000002A600001429000025CAFF00000008000000
AA1C01010271000000000000000002A600001429000025CAFF0000000E000000
AA1C01010274000000000000000002A600001429000025CAFF00000011000000
AA1C01010269000000000000000002A600001429000025CAFF00000006000000
AA1C0101028D000000000000000002A600001429000025CAFF0000002A000000
AA1C0101029A000000000000000002A600001429000025CAFF00000037000000
AA1C0101029D000000000000000002A600001429000025CAFF0000003A000000
AA1C010102A7000000000000000002A600001429000025CAFF00000044000000
AA1C010102AF000000000000000002A600001429000025CAFF0000004C000000
AA1C010102B2000000000000000002A600001429000025CAFF0000004F000000
AA1C0101029F000000000000000002A600001429000025CAFF0000003C000000
AA1C010102C3000000000000000002A600001429000025CAFF00000060000000
AA1C010102D7000000000000000002A600001429000025CAFF00000074000000
AA1C010102E6000000000000000002A600001429000025CAFF00000083000000
AA1C010102F0000000000000000002A600001429000025CAFF0000008D000000
AA1C01010314000000000000000002A600001429000025CAFF000000B2000000
AA1C01010319000000000000000002A600001429000025CAFF000000B7000000
AA1C0101031A000000000000000002A600001429000025CAFF000000B8000000
AA1C0101031E000000000000000002A600001429000025CAFF000000BC000000
AA1C0101032C000000000000000002A600001429000025CAFF000000CA000000
AA1C01010333000000000000000002A600001429000025CAFF000000D1000000
AA1C0101033A000000000000000002A600001429000025CAFF000000D8000000
AA1C01010340000000000000000002A600001429000025CAFF000000DE000000
AA1C0101034E000000000000000002A600001429000025CAFF000000EC000000
AA1C01010352000000000000000002A600001429000025CAFF000000F0000000
AA1C0101033D000000000000000002A600001429000025CAFF000000DB000000
AA1C01010356000000000000000002A600001429000025CAFF000000F4000000
AA1C01010353000000000000000002A600001429000025CAFF000000F1000000
AA1C0101036F000000000000000002A600001429000025CAFF0000000D000000
AA1C01010371000000000000000002A600001429000025CAFF0000000F000000
AA1C01010372000000000000000002A600001429000025CAFF00000010000000
AA1C0101036C000000000000000002A600001429000025CAFF0000000A000000
AA1C01010381000000000000000002A600001429000025CAFF0000001F000000
AA1C0101039F000000000000000002A600001429000025CAFF0000003D000000
AA1C010103A8000000000000000002A600001429000025CAFF00000046000000
AA1C010103AE000000000000000002A600001429000025CAFF0000004C000000
AA1C010103B5000000000000000002A600001429000025CAFF00000053000000
AA1C010103BE000000000000000002A600001429000025CAFF0000005C000000
AA1C010103BF000000000000000002A600001429000025CAFF0000005D000000
AA1C010103AF000000000000000002A600001429000025CAFF0000004D000000
AA1C010103CD000000000000000002A600001429000025CAFF0000006B000000
AA1C010103D6000000000000000002A600001429000025CAFF00000074000000
AA1C010103DD000000000000000002A600001429000025CAFF0000007B000000
AA1C010103E8000000000000000002A600001429000025CAFF00000086000000
AA1C010103F9000000000000000002A600001429000025CAFF00000097000000
AA1C0101040A000000000000000002A600001429000025CAFF000000A9000000
AA1C01010449000000000000000002A600001429000025CAFF000000E8000000
AA1C0101044A000000000000000002A600001429000025CAFF000000E9000000
AA1C0101044E000000000000000002A600001429000025CAFF000000ED000000
AA1C0101045E000000000000000002A600001429000025CAFF000000FD000000
AA1C0101046F000000000000000002A600001429000025CAFF0000000E000000
AA1C0101047F000000000000000002A600001429000025CAFF0000001E000000
AA1C0101048A000000000000000002A600001429000025CAFF00000029000000
AA1C01010498000000000000000002A600001429000025CAFF00000037000000
AA1C010104A4000000000000000002A600001429000025CAFF00000043000000
AA1C010104AB000000000000000002A600001429000025CAFF0000004A000000
AA1C010104AF000000000000000002A600001429000025CAFF0000004E000000
AA1C0101049F000000000000000002A600001429000025CAFF0000003E000000
AA1C010104BF000000000000000002A600001429000025CAFF0000005E000000
AA1C010104C5000000000000000002A600001429000025CAFF00000064000000
AA1C010104CD000000000000000002A600001429000025CAFF0000006C000000
AA1C010104DC000000000000000002A600001429000025CAFF0000007B000000
AA1C010104E5000000000000000002A600001429000025CAFF00000084000000
AA1C010104F6000000000000000002A600001429000025CAFF00000095000000
AA1C01010502000000000000000002A600001429000025CAFF000000A2000000
AA1C0101050D000000000000000002A600001429000025CAFF000000AD000000
AA1C0101052B000000000000000002A600001429000025CAFF000000CB000000
AA1C01010530000000000000000002A600001429000025CAFF000000D0000000
AA1C01010531000000000000000002A600001429000025CAFF000000D1000000
AA1C0101053E000000000000000002A600001429000025CAFF000000DE000000
AA1C01010546000000000000000002A600001429000025CAFF000000E6000000
AA1C01010553000000000000000002A600001429000025CAFF000000F3000000
AA1C0101055E000000000000000002A600001429000025CAFF000000FE000000
AA1C01010569000000000000000002A600001429000025CAFF00000009000000
AA1C01010572000000000000000002A600001429000025CAFF00000012000000
AA1C0101057E000000000000000002A600001429000025CAFF0000001E000000
AA1C01010586000000000000000002A600001429000025CAFF00000026000000
AA1C01010595000000000000000002A600001429000025CAFF00000035000000
AA1C0101059D000000000000000002A600001429000025CAFF0000003D000000
AA1C0101059F000000000000000002A600001429000025CAFF0000003F000000
AA1C010105B6000000000000000002A600001429000025CAFF00000056000000
AA1C010105E4000000000000000002A600001429000025CAFF00000084000000
AA1C01010608000000000000000002A600001429000025CAFF000000A9000000
AA1C01010610000000000000000002A600001429000025CAFF000000B1000000
AA1C01010631000000000000000002A600001429000025CAFF000000D2000000
AA1C01010653000000000000000002A600001429000025CAFF000000F4000000
AA1C01010666000000000000000002A600001429000025CAFF00000007000000
AA1C0101066B000000000000000002A600001429000025CAFF0000000C000000
AA1C01010660000000000000000002A600001429000025CAFF00000001000000
AA1C01010638000000000000000002A600001429000025CAFF000000D9000000
AA1C0101061F000000000000000002A600001429000025CAFF000000C0000000
AA1C0101060F000000000000000002A600001429000025CAFF000000B0000000
AA1C010105E8000000000000000002A600001429000025CAFF00000088000000
AA1C010105DD000000000000000002A600001429000025CAFF0000007D000000
AA1C010105C2000000000000000002A600001429000025CAFF00000062000000
AA1C010105B1000000000000000002A600001429000025CAFF00000051000000
AA1C010105F3000000000000000002A600001429000025CAFF00000093000000
AA1C01010626000000000000000002A600001429000025CAFF000000C7000000
AA1C01010653000000000000000002A600001429000025CAFF000000F4000000
AA1C01010671000000000000000002A600001429000025CAFF00000012000000
AA1C010106A9000000000000000002A600001429000025CAFF0000004A000000
AA1C010106DA000000000000000002A600001429000025CAFF0000007B000000
AA1C0101070A000000000000000002A600001429000025CAFF000000AC000000
AA1C0101072B000000000000000002A600001429000025CAFF000000CD000000
AA1C01010747000000000000000002A600001429000025CAFF000000E9000000
AA1C0101076D000000000000000002A600001429000025CAFF0000000F000000
AA1C01010783000000000000000002A600001429000025CAFF00000025000000
AA1C0101079F000000000000000002A600001429000025CAFF00000041000000
AA1C010107B8000000000000000002A600001429000025CAFF0000005A000000
AA1C010107E4000000000000000002A600001429000025CAFF00000086000000
AA1C010107FF000000000000000002A600001429000025CAFF000000A1000000
AA1C0101082D000000000000000002A600001429000025CAFF000000D0000000
AA1C0101084E000000000000000002A600001429000025CAFF000000F1000000
AA1C01010868000000000000000002A600001429000025CAFF0000000B000000
AA1C0101087F000000000000000002A600001429000025CAFF00000022000000
AA1C010108A2000000000000000002A600001429000025CAFF00000045000000
AA1C010108D1000000000000000002A600001429000025CAFF00000074000000
AA1C010108E6000000000000000002A600001429000025CAFF00000089000000
AA1C01010914000000000000000002A600001429000025CAFF000000B8000000
AA1C01010928000000000000000002A600001429000025CAFF000000CC000000
AA1C0101093A000000000000000002A600001429000025CAFF000000DE000000
AA1C01010965000000000000000002A600001429000025CAFF00000009000000
AA1C01010988000000000000000002A600001429000025CAFF0000002C000000
AA1C010109BE000000000000000002A600001429000025CAFF00000062000000
AA1C010109DD000000000000000002A600001429000025CAFF00000081000000
AA1C01010A0F000000000000000002A600001429000025CAFF000000B4000000
AA1C01010A35000000000000000002A600001429000025CAFF000000DA000000
AA1C01010A57000000000000000002A600001429000025CAFF000000FC000000
AA1C01010A91000000000000000002A600001429000025CAFF00000036000000
AA1C01010AC0000000000000000002A600001429000025CAFF00000065000000
AA1C01010AEB000000000000000002A600001429000025CAFF00000090000000
AA1C01010B22000000000000000002A600001429000025CAFF000000C8000000
AA1C01010B2F000000000000000002A600001429000025CAFF000000D5000000
AA1C01010B55000000000000000002A600001429000025CAFF000000FB000000
AA1C01010BA9000000000000000002A600001429000025CAFF0000004F000000
AA1C01010BA6000000000000000002A600001429000025CAFF0000004C000000
AA1C01010B89000000000000000002A600001429000025CAFF0000002F000000
AA1C01010B71000000000000000002A600001429000025CAFF00000017000000
AA1C01010B33000000000000000002A600001429000025CAFF000000D9000000
AA1C01010B13000000000000000002A600001429000025CAFF000000B9000000
AA1C01010AEA000000000000000002A600001429000025CAFF0000008F000000
AA1C01010AC7000000000000000002A600001429000025CAFF0000006C000000
AA1C01010AAA000000000000000002A600001429000025CAFF0000004F000000
AA1C01010A92000000000000000002A600001429000025CAFF00000037000000
AA1C01010A6D000000000000000002A600001429000025CAFF00000012000000
AA1C01010A55000000000000000002A600001429000025CAFF000000FA000000
AA1C01010A28000000000000000002A600001429000025CAFF000000CD000000
AA1C01010A01000000000000000002A600001429000025CAFF000000A6000000
AA1C010109EF000000000000000002A600001429000025CAFF00000093000000
AA1C010109BB000000000000000002A600001429000025CAFF0000005F000000
AA1C0101099B000000000000000002A600001429000025CAFF0000003F000000
AA1C0101095F000000000000000002A600001429000025CAFF00000003000000
AA1C0101092E000000000000000002A600001429000025CAFF000000D2000000
AA1C01010913000000000000000002A600001429000025CAFF000000B7000000
AA1C010108EB000000000000000002A600001429000025CAFF0000008E000000
AA1C010108CC000000000000000002A600001429000025CAFF0000006F000000
AA1C010108B0000000000000000002A600001429000025CAFF00000053000000
AA1C01010888000000000000000002A600001429000025CAFF0000002B000000
AA1C01010853000000000000000002A600001429000025CAFF000000F6000000
AA1C01010831000000000000000002A600001429000025CAFF000000D4000000
AA1C01010842000000000000000002A600001429000025CAFF000000E5000000
AA1C01010855000000000000000002A600001429000025CAFF000000F8000000
AA1C0101086E000000000000000002A600001429000025CAFF00000011000000
AA1C01010856000000000000000002A600001429000025CAFF000000F9000000
AA1C01010819000000000000000002A600001429000025CAFF000000BC000000
AA1C01010830000000000000000002A600001429000025CAFF000000D3000000
AA1C01010856000000000000000002A600001429000025CAFF000000F9000000
AA1C01010805000000000000000002A600001429000025CAFF000000A8000000
AA1C0101080E000000000000000002A600001429000025CAFF000000B1000000
AA1C01010833000000000000000002A600001429000025CAFF000000D6000000
AA1C010107DC000000000000000002A600001429000025CAFF0000007E000000
AA1C010107C8000000000000000002A600001429000025CAFF0000006A000000
AA1C010107AB000000000000000002A600001429000025CAFF0000004D000000
AA1C01010790000000000000000002A600001429000025CAFF00000032000000
AA1C01010752000000000000000002A600001429000025CAFF000000F4000000",0,-4,28,add,None,None,8,(lambda (xs) (fold addition xs 0)),252,161,0.688u 0.013s 0:00.77 89.6%4%
3 (18250),"E1C00A0EAA70303096842713F6
E1C00A0EAA60303096842713E6
E1C00A4E8A6038349484271310
E1C00A4E8A7038349484271320
E1C00A4EAA6030349484271328
E1C00A4EAA6038349484271330
E1C00A4EAA7030349484271338
E1C00A4F8A7030149C812512FB
E1C00A4FAA7030149C8125121B
E1C00A0EAA70303494852713F9
E1C00A0E8A60383494852713D1
E1C00A5F8E7439159C89033324
E1C00A1FAE7439159C89033304
E1C00A5FAE7439159C89033344
E1C00A5FAE6431119E8903332A
E1C00A1F8E7431119E890333DA
E1C00A5F8E7431119E8903331A
E1C00A5F8E6439119E89033312
E1C00A1FAE6439119E890333F2
E1C00A5FAE6439119E89033332
E1C00A5FAE7439119E89033342
E1C00A1F8E6431159E890333CE
E1C00A5F8E6431159E8903330E
E1C00A5F8E7431159E8903331E
E1C00A1FAE7431159E890333FE
E1C00A5FAE7431159E8903333E
E1C00A5FAE6439159E89033336
E1C00A1F8E7439159E890333E6
E1C00A5F8E7439159E89033326
E1C00A5F8E6431119C8803B387
E1C00A1FAE6431119C8803B367
E1C00A5FAE6431119C8803B3A7
E1C00A5FAE7431119C8803B3B7
E1C00A1F8E6439119C8803B34F
E1C00A5F8E6439119C8803B38F
E1C00A5E0F2491018681013075
E1C00A1E2F2491018681013055
E1C00A1E2F3491018681013065
E1C00A5E2F34910186810130A5
E1C00A1E0F249901868101303D
E1C00A1E0F349901868101304D
E1C00A5E0F349901868101308D
E1C00A1E2F349901868101306D
E1C00A1E2F2491058681013059
E1C00A5E2F2491058681013099
E1C00A1E0F3491058681013049
E1C00A1E0F2499058681013041
E1C00A5E0F2499058681013081
E1C00A1E2F2499058681013061
E1C00A1E2F3499058681013071
E1C00A5E2F34990586810130B1
E1C00A1E0F249101848001B0B2
E1C00A1E0F349101848001B0C2
E1C00A5E0F349101848001B002
E1C00A1E2F349101848001B0E2
E1C00A1E2F249901848001B0DA
E1C00A0FAA6030149C882313D1
E1C00A0FAA7030149C882313E1
E1C00A0F8A7030149C882313C1
E1C00A0F8A6038149C882313B9
E1C00A0FAA6038149C882313D9
E1C00A0F8A7038149C882313C9
E1C00A0F8A6030109E882313AF
E1C00A4FAA6030109E8823130F
E1C00A4F8A7030109E882313FF
E1C00A4EAA6030349484271328
E1C00A4E8A7030349484271318
E1C00A4EAA7030349484271338
E1C00A4E8A6038349484271310
E1C00A4EAA6038349484271330
E1C00A4E8A7038349484271320
E1C00A4E8A6030309684271306
E1C00A0EAA60303096842713E6
E1C00A0E8A70303096842713D6
E1C00A0EAA70303096842713F6",3,-1,12,add,add,0x1a,8,(lambda (xs) (addition (fold addition xs 0) 0x1a)),75,8,0.113u 0.008s 0:00.15 73.3%
4 (18329),"806FA30102B00818
806FA30300800040
806FA30200800041
806FA30400800043
806FA30101810848
806FA30102800848
806FA30100810849
806FA3010480084A
806FA3010080084E
806FA30102A00868
806FA30101A2086B
806FA30102880870
806FA30106800874
806FA30100880876
806FA30102900878
806FA30112800878
1003A30001003806739C9B9400121202
1003A3000100380A74A08E9400121206
1003A30001004006729E99940012120B
1003A30001003007729B9A8E00121212
1003A30001003804747778CC01121212
1003A30001003007719B999000121212
1003A300010030076F9F929400121213
1003A300010030076EA18C9400121214
1003A300010030076EA08E9400121217
1003A30001003007729B9A900012121C
1003A3000100300672A191940012121C
1003A30001003007729B99900012121D
1003A30001003007709C98940012121F
1003A30001003805747677000012122C
1003A3000100B4036C3E3A0000120031
1003A300010030067272710000121233",0,-1,-1,add,xor,0x55,8,(lambda (xs) (xor (fold addition xs 0) 0x55)),32,2,0.074u 0.009s 0:00.15 46.6%
5 (20748),"000000000000000000000000000000A5
040000000000000000000000000000A9
060000000000000000000000000000AB
080000000000000000000000000000AD
800024F4671EA3000000003F00FBE6F981BB17D1
84000000000000000000000000D83D62FC6C7C84
86000000000000000000000000397A9A0577776B
88020202020202020200000000299EEA45767821",0,-1,-1,add,add,0xa5,8,(lambda (xs) (addition (fold addition xs 0) 0xa5)),8,2,0.561u 0.008s 0:00.60 93.3%
6 (21577),"55549D1748C2AA11D2044F
55549D1748C2AA12B70132
55549D1748C2AA139C081F
55549D1748C2AA148102FF
55549D1748C2AA156604E7
55549D1748C2AA164B01CA
55549D1748C2AA173008B7
55549D1748C2AA18150297
55549D1748C2AA19FA047F
55549D1748C2AA1ADF0162
55549D1748C2AA1BC4084F
55549D1748C2AA1CA9022F
55549D1748C2AA1D8E0417
55549D1748C2AA1E7301FA
55549D1748C2AA1F5808E7
55549D1748C2AA203D02C7
55549D1748C2AA212204AF
55549D1748C2AA22070192
55549D1748C2AA23EC087F
55549D1748C2AA24D1025F
55549D1748C2AA25B60447
55549D1748C2AA269B012A
55549D1748C2AA27800817
55549D1748C2AA286502F7
55549D1748C2AA294A04DF",2,-1,10,add,None,None,8,(lambda (xs) (fold addition xs 0)),25,22,0.054u 0.006s 0:00.11 45.4%
7 (34175654),"00020003400012A9
00030103400012A7
00010303400012A7
2001030A400012010104FFFFFFFF7E
00010303400016A3
200103094000160C0C010400441C
000103074100000024A003ED
2001030A4100000024A0030895BA73
0001032A90020030000200310700013000020131070002300002023107060330000203310700043000FF053000FF1F
2001030290004A
00020003400012A9
00030103400012A7
00010302D10227
20010312D140200100002101000022010000230100002F
00020003400012A9
00030103400012A7
00010302D20226
20010302D240C8
00020003400012A9
00030103400012A7
00010302D10227
20010312D140200100002101000022010000230100002F
00020003400012A9
00030103400012A7
00010302D20226
20010302D240C8
00020003400012A9
00030103400012A7
00010302D20226
20010302D240C8
00020003400012A9
00030103400012A7
00010302D20226
20010302D240C8
00020003400012A9
00030103400012A7
00010302D20226
20010302D240C8",0,-1,-1,sub ,None,None,8,(lambda (xs) (fold subtraction xs 0)),38,64,0.068u 0.007s 0:00.10 60.0%
8 (8429),"A802000000001F5D0000000073
A802000000001E5D0000000070
A802000000001D5D0000000071
A80300000004045D0000000045
A80300000004055D0000000044
A803000000040F61000000004A
A802000000040F61000000004B
A81200004004169A00000000FB
A81200004004159A00000000F8
A81200004004149A00000000E5
A81200084000149C00000000E7
A83200084000149C0000000087
A85200084000149C00000000A7",0,-1,12,add,xor,0x55,8,(lambda (xs) (xor (fold addition xs 0) 0x55)),12,6,0.091u 0.011s 0:00.17 58.8%
9 (6342),"D00771BCBE3B0000
E80317FC00000000
D00771BCBE3B0000
4C04EFBFBE3B0600
0B0007E1BE3B01007E457874656E64466D74",0,0,1,onesComp,invert,None,16,(lambda (xs) (invert (fold onesComplement xs 0))),7,20,0.037u 0.006s 0:00.1030.0%
10a (6927),"00000000000000000000000000000000000000000007478A000101004892B760
F0000000000000000000000000000000000000000002D8DF00010100C9E23610
3065C0000000000000000000000000000000000000006F850001010060EB9F07
FFFFFFFF03FC6BBD000000000000000000000000000000000001010070B88F3A
FFFFFFFF0397E33D340C804138458C5006060968570C214B0001017AE8F416FE
FFFFFFFF01671F7E000000000000000000000000000000000001010021E4DE0E
FFFFFFFF01671F84000000000000000000000000000000000001010021EADE08
FFFFFFFF01671F88000000000000000000000000000000000001010021EEDE04
FFFFFFFF01671F86000000000000000000000000000000000001010021ECDE06
FFFFFFFF01671F8C000000000000000000000000000000000001010021F2DE00
FFFFFFFF01671F8A000000000000000000000000000000000001010021F0DE02
FFFFFFFF01671F86000000000000000000000000000000000001010021ECDE06
FFFFFFFF01671F8C000000000000000000000000000000000001010021F2DE00
FFFFFFFF01671F90000000000000000000000000000000000001010021F6DDFC",0,-2,14,add,None,None,16,(lambda (xs) (fold addition xs 0)) ,14,13,0.217u 0.005s 0:00.28 75.0%
10b (6927),"00000000000000000000000000000000000000000007478A000101004892B760
F0000000000000000000000000000000000000000002D8DF00010100C9E23610
3065C0000000000000000000000000000000000000006F850001010060EB9F07
FFFFFFFF03FC6BBD000000000000000000000000000000000001010070B88F3A
FFFFFFFF0397E33D340C804138458C5006060968570C214B0001017AE8F416FE
FFFFFFFF01671F7E000000000000000000000000000000000001010021E4DE0E
FFFFFFFF01671F84000000000000000000000000000000000001010021EADE08
FFFFFFFF01671F88000000000000000000000000000000000001010021EEDE04
FFFFFFFF01671F86000000000000000000000000000000000001010021ECDE06
FFFFFFFF01671F8C000000000000000000000000000000000001010021F2DE00
FFFFFFFF01671F8A000000000000000000000000000000000001010021F0DE02
FFFFFFFF01671F86000000000000000000000000000000000001010021ECDE06
FFFFFFFF01671F8C000000000000000000000000000000000001010021F2DE00
FFFFFFFF01671F90000000000000000000000000000000000001010021F6DDFC",14,-1,15,sub,add,0xFFF2,16,(lambda (xs) (addition (fold subtraction xs 0) 0xFFF2)),14,13,0.217u 0.005s 0:00.28 75.0%
11 (IPv4 Header Checksum),"4500002894d00000710654cc0d6b8809c0a80a17
450000282ba700007106bdf50d6b8809c0a80a17
45000028bd27000071062c750d6b8809c0a80a17
4500012c000040004006d998c0a80a170d6b8809
45000052000040004006da72c0a80a170d6b8809",0,0,5,onesComp,invert,None,16,(lambda (xs) (invert (fold onesComplement xs 0))),7,24,0.077u 0.017s 0:00.18 44.4%
12 (ICMP Checksum),"08009654a41700005eab245c00044f8508090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637
00009e54a41700005eab245c00044f8508090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637
08008239a41700015eab245d0004639e08090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637",0,0,1,onesComp,invert,None,16,(lambda (xs) (invert (fold onesComplement xs 0))),10,48,0.423u 0.012s 0:00.52 82.6%